user_id,product_id,event_type,timestamp,event_date,product_name,category,price,rating
U1398,P159,purchase,2025-03-13 01:15:31.961401,2025-03-13,Yogurt,Grocery,612.88,3.3
U1000,P138,cart,2025-04-21 03:29:53.628933,2025-04-21,Lacoste Polo Shirt,Clothing,915.4,3.9
U1009,P107,purchase,2025-03-14 17:03:39.407360,2025-03-14,Motorola Edge 30,Phones,653.39,4.1
U1449,P153,purchase,2025-03-23 07:08:21.251618,2025-03-23,Canned Beans,Grocery,120.44,3.9
U1122,P103,view,2025-04-12 02:47:38.090509,2025-04-12,OnePlus 11,Phones,893.26,3.2
U1290,P160,view,2025-03-10 13:42:29.902679,2025-03-10,Butter,Grocery,764.89,4.1
U1374,P131,purchase,2025-03-27 07:22:49.003532,2025-03-27,Adidas Ultraboost,Clothing,561.38,4.4
U1389,P134,purchase,2025-03-25 12:56:42.059442,2025-03-25,Zara Men’s Jacket,Clothing,322.3,3.5
U1065,P142,cart,2025-03-24 22:35:26.041699,2025-03-24,Oats,Grocery,405.41,3.4
U1281,P110,view,2025-03-11 21:47:40.927583,2025-03-11,"MacBook Pro 16""",Laptops,807.76,4.4
U1446,P138,cart,2025-04-01 22:16:56.030912,2025-04-01,Lacoste Polo Shirt,Clothing,915.4,3.9
U1108,P159,purchase,2025-04-27 10:14:56.256125,2025-04-27,Yogurt,Grocery,612.88,3.3
U1373,P144,view,2025-04-08 14:42:23.856235,2025-04-08,Almonds,Grocery,100.0,3.1
U1159,P125,purchase,2025-03-04 06:08:00.997956,2025-03-04,Breville Espresso Machine,Home Appliances,376.48,3.4
U1332,P123,cart,2025-03-17 12:40:51.903263,2025-03-17,Bosch Dishwasher,Home Appliances,109.99,3.6
U1264,P128,view,2025-03-30 03:08:48.778541,2025-03-30,Ninja Air Fryer,Home Appliances,179.43,4.5
U1115,P104,cart,2025-03-23 02:45:39.572501,2025-03-23,Xiaomi Redmi Note 12,Phones,427.7,3.1
U1301,P135,view,2025-04-22 00:43:38.577255,2025-04-22,Uniqlo Women’s Dress,Clothing,218.87,4.9
U1112,P100,view,2025-04-06 04:57:12.665969,2025-04-06,iPhone 14,Phones,643.03,3.1
U1323,P103,view,2025-03-29 14:36:08.470063,2025-03-29,OnePlus 11,Phones,893.26,3.2
U1463,P102,purchase,2025-03-28 06:15:54.948471,2025-03-28,Google Pixel 7,Phones,739.11,4.4
U1036,P132,view,2025-02-28 03:25:12.192063,2025-02-28,Levi’s 501 Jeans,Clothing,844.42,4.6
U1342,P131,view,2025-03-30 09:55:20.912571,2025-03-30,Adidas Ultraboost,Clothing,561.38,4.4
U1067,P146,purchase,2025-04-19 06:31:53.939683,2025-04-19,Eggs,Grocery,794.16,3.8
U1292,P136,cart,2025-03-19 08:44:37.349894,2025-03-19,Gucci Sneakers,Clothing,877.6,3.6
U1401,P130,purchase,2025-04-22 18:40:24.452791,2025-04-22,Nike Air Max,Clothing,989.63,4.3
U1097,P106,view,2025-04-05 06:22:51.906131,2025-04-05,iPhone 13,Phones,36.27,3.4
U1220,P122,cart,2025-04-11 23:10:55.441660,2025-04-11,Whirlpool Refrigerator,Home Appliances,88.99,3.5
U1239,P155,purchase,2025-04-26 00:41:18.234792,2025-04-26,Grapes,Grocery,877.09,3.5
U1344,P141,purchase,2025-04-16 14:11:50.083290,2025-04-16,Brown Bread,Grocery,588.74,4.8
U1050,P103,cart,2025-04-05 18:33:03.464319,2025-04-05,OnePlus 11,Phones,893.26,3.2
U1173,P151,purchase,2025-04-20 05:56:11.535271,2025-04-20,Cheese,Grocery,684.89,4.1
U1127,P112,view,2025-04-21 11:45:33.848629,2025-04-21,HP Spectre x360,Laptops,957.64,3.7
U1229,P108,cart,2025-03-04 00:48:55.173467,2025-03-04,Realme GT 2 Pro,Phones,228.24,4.2
U1142,P129,view,2025-04-04 03:23:39.654518,2025-04-04,Vitamix Blender,Home Appliances,171.77,3.8
U1472,P104,cart,2025-03-16 16:29:10.098288,2025-03-16,Xiaomi Redmi Note 12,Phones,427.7,3.1
U1441,P154,purchase,2025-03-13 13:12:20.867286,2025-03-13,Frozen Peas,Grocery,459.19,4.9
U1025,P141,purchase,2025-04-18 07:27:17.767824,2025-04-18,Brown Bread,Grocery,588.74,4.8
U1428,P100,purchase,2025-04-05 01:50:56.106143,2025-04-05,iPhone 14,Phones,643.03,3.1
U1474,P148,purchase,2025-02-28 12:16:58.467499,2025-02-28,Rice,Grocery,996.16,4.1
U1085,P126,cart,2025-03-22 09:31:54.550697,2025-03-22,KitchenAid Stand Mixer,Home Appliances,274.31,4.9
U1109,P155,cart,2025-04-05 19:55:17.479748,2025-04-05,Grapes,Grocery,877.09,3.5
U1030,P110,cart,2025-03-19 11:00:24.861539,2025-03-19,"MacBook Pro 16""",Laptops,807.76,4.4
U1199,P116,purchase,2025-03-20 11:59:23.761681,2025-03-20,MacBook Air M2,Laptops,540.87,4.9
U1401,P129,view,2025-04-26 03:49:39.195634,2025-04-26,Vitamix Blender,Home Appliances,171.77,3.8
U1356,P146,purchase,2025-03-02 14:55:42.081933,2025-03-02,Eggs,Grocery,794.16,3.8
U1284,P142,purchase,2025-03-24 13:58:36.411234,2025-03-24,Oats,Grocery,405.41,3.4
U1079,P112,view,2025-04-19 12:18:06.300689,2025-04-19,HP Spectre x360,Laptops,957.64,3.7
U1495,P103,purchase,2025-03-07 05:28:33.096756,2025-03-07,OnePlus 11,Phones,893.26,3.2
U1277,P103,purchase,2025-04-20 20:26:59.897237,2025-04-20,OnePlus 11,Phones,893.26,3.2
U1029,P103,purchase,2025-04-17 13:42:43.498504,2025-04-17,OnePlus 11,Phones,893.26,3.2
U1257,P158,purchase,2025-04-16 21:32:41.319890,2025-04-16,Cereals,Grocery,305.46,4.3
U1080,P103,purchase,2025-03-29 17:19:11.915295,2025-03-29,OnePlus 11,Phones,893.26,3.2
U1041,P154,view,2025-03-18 20:25:22.273734,2025-03-18,Frozen Peas,Grocery,459.19,4.9
U1304,P104,purchase,2025-03-10 10:46:43.661591,2025-03-10,Xiaomi Redmi Note 12,Phones,427.7,3.1
